,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
38,29,5,189658,9,10,4,8,0,2,1,0,0,40,39,0
39,22,4,251739,14,14,0,10,1,4,1,0,0,44,40,0
40,49,2,260608,11,9,2,3,3,2,0,0,0,4,39,0
41,28,4,121665,9,10,2,14,3,4,0,0,0,46,39,0
42,32,4,364076,15,10,2,10,4,4,1,0,0,40,0,0
43,47,4,166009,11,10,4,12,0,4,1,0,0,40,39,0
44,45,4,92103,0,10,4,3,0,4,1,25200,0,40,39,1
45,36,6,198527,15,13,2,8,0,4,0,98200,0,53,39,1
46,75,4,293127,11,10,2,10,0,4,1,0,0,40,39,0
47,65,5,213308,11,10,2,7,4,4,1,0,0,40,39,0
48,20,6,92103,11,13,3,4,1,4,1,0,0,48,39,0
49,27,6,18197,4,10,2,11,0,2,1,0,0,29,39,0
50,27,4,56628,0,9,2,3,0,4,0,0,0,40,39,0
51,45,4,65497,8,5,0,0,0,4,1,0,1559,34,39,0
52,27,1,71409,5,13,4,7,3,4,0,0,0,16,39,0
53,27,5,139402,7,13,4,3,3,4,1,0,0,40,39,0
54,18,0,290170,0,10,2,1,1,2,0,0,0,40,39,0
55,44,4,118709,9,9,4,10,1,4,1,0,0,26,39,0
56,25,1,15241,15,14,6,3,0,4,0,0,0,40,3,0
57,51,4,154184,15,10,2,10,0,4,1,0,0,40,39,0
58,29,7,458676,9,10,2,8,0,4,0,0,0,32,39,0
59,19,4,139402,11,10,4,4,4,4,1,0,0,53,39,0
60,27,4,263564,11,10,2,3,1,4,1,0,0,7,39,0
61,46,4,112796,11,15,2,10,1,4,0,2600,0,4,39,0
62,62,6,18197,12,9,0,5,3,4,0,0,0,37,39,0
63,41,4,174877,9,10,4,1,5,4,1,0,0,40,39,0
64,17,2,151227,11,10,2,8,0,2,1,0,2283,39,39,0
65,55,4,381814,10,4,2,3,1,4,1,0,1803,40,39,0
66,39,4,1026272,15,13,4,10,4,4,0,0,0,12,39,0
67,25,4,180790,9,9,6,4,1,4,1,0,0,60,39,0
68,48,7,77322,14,10,4,10,4,2,1,0,0,49,39,0
69,34,4,166009,15,7,4,3,0,4,1,0,0,40,39,0
70,56,6,160096,9,9,4,8,0,4,1,0,0,40,39,0
71,26,4,59584,15,9,5,1,3,4,1,0,0,40,39,0
72,27,4,171921,15,9,2,1,0,4,1,6800,0,60,39,0
73,40,6,127578,15,16,2,1,1,4,1,0,0,40,39,0
74,40,5,142359,9,9,2,12,0,4,1,0,0,45,39,0
75,44,4,160096,11,9,2,12,0,2,0,0,0,53,38,0
76,39,4,183746,8,10,2,4,5,4,1,2400,0,40,39,0
77,45,4,56628,15,1,2,4,5,4,1,16400,2727,16,39,1
78,17,4,112796,9,13,2,1,0,4,1,0,0,60,39,0
79,50,4,139402,11,12,5,1,0,4,0,0,0,35,39,0
80,33,4,71409,12,9,0,1,2,4,0,18200,0,40,39,1
81,22,4,74365,11,13,4,4,0,4,1,0,0,40,39,0
82,57,4,133490,15,11,0,10,0,4,1,0,0,61,39,0
83,34,6,160096,11,9,6,3,0,4,1,0,0,40,39,0
84,34,4,24109,15,13,2,3,0,4,0,0,0,40,39,0
85,59,0,222177,15,13,4,13,0,4,1,0,0,40,39,0
86,34,4,207396,0,7,6,3,4,1,1,0,0,38,39,0
87,47,6,71409,11,9,0,7,3,2,1,0,0,42,39,0
88,42,2,24109,11,9,4,13,2,4,1,0,0,40,39,0
89,58,4,103928,11,10,0,12,3,4,1,0,0,40,39,0
90,31,4,225133,11,13,4,12,1,4,0,0,1777,50,2,0
91,62,4,231046,11,9,2,3,3,4,1,0,0,40,39,0
92,35,4,59584,15,10,2,8,0,4,1,0,0,51,39,0
93,41,2,112796,0,10,2,4,3,4,1,0,0,40,39,0
94,40,4,171921,11,9,2,9,0,1,0,0,0,40,39,0
95,31,4,163052,12,4,3,5,0,4,1,0,0,40,39,0
96,40,6,180790,9,1,4,3,0,4,1,0,0,40,39,0
97,37,4,225133,8,9,4,3,0,4,1,0,0,20,39,0
98,47,4,166009,11,9,2,0,0,4,1,0,0,40,39,0
99,57,5,44803,9,13,4,1,1,4,0,0,0,20,39,0
100,41,4,127578,5,10,2,3,4,2,1,0,0,40,39,0
101,40,4,21153,9,9,2,14,0,4,1,0,0,40,39,0
102,54,4,189658,11,9,2,1,3,4,1,0,0,46,0,0
103,57,4,364076,15,15,4,1,0,4,1,0,0,50,39,0
104,36,2,127578,9,9,4,8,4,3,0,0,0,40,39,0
105,28,4,346339,15,12,4,3,3,4,1,0,0,50,39,0
106,41,2,183746,9,9,4,6,0,4,1,0,0,12,39,0
107,39,4,213308,12,9,4,12,1,4,1,0,0,40,39,0
108,21,4,180790,0,13,4,1,1,4,1,0,0,40,39,0
109,41,2,399551,12,11,4,10,4,4,1,0,0,40,39,0
110,53,2,118709,11,11,2,14,0,4,0,0,0,40,17,0
111,66,4,86190,12,13,0,3,0,4,1,0,0,40,39,0
112,17,6,340426,12,9,2,8,0,4,1,0,0,40,39,0
113,45,4,145315,11,9,2,10,1,2,1,0,0,31,36,0
114,50,5,192615,5,10,4,4,3,4,1,0,0,40,39,0
115,67,4,174877,0,2,2,3,4,4,0,0,0,40,39,0
116,41,2,251739,11,10,4,12,0,4,0,3000,1725,40,35,0
117,46,5,157140,11,7,2,4,0,2,1,0,0,49,38,0
118,24,4,299039,11,10,4,8,0,4,1,0,0,40,2,0
119,22,8,352251,15,11,2,12,0,4,1,0,0,40,39,0
120,20,0,168965,11,8,2,4,0,4,0,0,0,47,40,0
121,55,4,18197,8,10,4,12,0,4,1,4200,0,40,39,1
122,32,4,328601,11,13,2,7,0,4,1,0,0,40,39,0
123,28,0,287214,11,13,2,12,3,2,1,4400,0,50,39,0
124,45,4,216265,15,14,2,0,4,4,0,0,0,46,39,0
125,25,5,198527,15,14,4,14,4,4,0,0,0,40,39,0
126,46,5,467544,7,3,3,4,1,4,1,2600,1951,39,39,0
127,42,4,269477,11,4,0,1,4,4,1,800,0,40,39,0
128,31,4,228089,15,9,6,10,0,4,0,0,0,60,39,0
129,26,4,145315,9,10,2,1,5,2,0,0,0,40,39,0
130,31,4,115753,15,10,4,10,1,4,1,5800,0,40,39,0
131,49,4,201483,11,9,0,3,3,4,1,0,0,40,39,0
132,31,2,216265,0,10,4,8,0,4,1,0,0,40,39,0
133,48,4,177833,15,13,2,4,2,4,1,0,0,40,39,0
134,23,4,171921,1,13,2,3,5,4,1,0,0,40,0,0
135,20,4,151227,11,9,2,12,0,4,1,0,0,26,39,0
136,30,4,103928,12,10,5,10,0,4,0,0,0,28,41,0
137,48,7,192615,11,3,2,4,0,4,1,0,0,17,36,0
138,27,4,340426,15,10,4,12,0,4,1,0,0,40,39,0
139,24,4,168965,15,14,0,7,0,2,1,0,0,50,39,0
140,40,4,103928,11,11,2,1,0,4,0,0,0,40,39,0
141,42,4,32978,9,7,2,1,1,4,1,0,0,37,39,0
142,18,7,139402,15,9,2,4,4,4,1,0,0,28,39,0
143,34,4,118709,9,9,2,12,5,4,0,0,0,50,39,0
144,42,4,260608,15,13,2,10,3,4,1,0,0,40,39,0
145,33,4,201483,15,13,2,5,3,4,0,0,0,44,39,0
146,62,7,92103,15,7,2,9,3,4,0,0,1934,19,39,0
147,54,4,83234,9,14,2,10,0,4,0,0,0,40,39,0
148,42,4,198527,9,13,0,0,2,4,1,0,0,45,28,0
149,41,4,198527,15,8,2,14,3,4,1,18200,0,40,39,0
150,17,4,142359,14,13,0,10,1,4,1,0,0,45,39,0
151,36,4,293127,9,6,0,3,4,2,0,0,0,54,39,0
152,35,0,100971,12,13,2,13,4,4,1,0,0,40,39,0
153,41,4,464588,9,10,2,1,4,4,1,0,1821,40,39,0
154,52,4,154184,15,11,4,11,0,4,1,0,0,40,39,0
155,18,6,183746,11,10,2,4,1,4,1,0,0,40,39,0
156,58,4,272433,9,10,2,12,0,0,0,0,0,40,39,0
157,43,6,411376,15,13,0,10,1,4,1,0,1890,40,39,0
158,27,0,174877,2,6,3,0,1,4,1,0,0,8,39,0
159,18,0,148271,9,10,2,12,0,4,1,0,0,50,39,0
160,28,4,260608,9,13,4,4,0,4,1,0,0,41,39,0
161,46,1,322689,14,9,2,8,0,4,0,0,0,26,39,0
162,39,7,127578,9,13,4,14,0,4,1,0,0,40,39,0
163,55,2,166009,15,9,2,14,1,4,0,0,0,40,39,0
164,25,4,207396,9,10,4,3,0,4,0,0,0,40,39,0
165,56,4,86190,6,13,2,9,3,4,1,0,0,46,39,0
166,18,4,225133,15,13,4,4,3,4,1,0,0,40,39,0
167,22,4,136446,15,9,2,11,3,4,1,0,17,40,39,0
168,25,4,35934,11,10,2,14,5,1,0,0,0,40,39,0
169,30,4,177833,15,9,0,14,1,4,1,0,0,50,39,0
170,30,4,109840,11,13,2,4,0,4,1,0,0,40,39,0
171,49,4,32978,15,7,0,7,3,4,1,0,0,60,39,0
172,24,2,266520,11,9,4,4,3,4,1,1000,0,40,39,0
173,32,4,136446,12,11,3,4,0,4,0,0,0,40,38,0
174,63,4,290170,14,4,2,12,1,4,0,0,1951,28,39,0
175,45,4,257652,11,10,2,1,1,4,0,0,0,40,39,0
176,47,4,168965,12,13,4,5,1,4,1,0,0,40,39,0
177,31,4,136446,9,12,0,4,0,4,0,0,0,50,39,0
178,43,4,287214,11,6,5,8,1,4,1,0,0,49,22,0
179,48,4,68453,15,10,2,0,0,4,1,0,0,40,39,0
180,52,4,139402,9,7,4,3,0,4,1,0,0,31,39,0
181,62,4,284258,9,9,2,3,0,4,1,0,0,40,39,0
182,38,4,189658,9,14,4,6,0,4,0,0,0,40,39,0
183,42,2,304951,15,10,4,5,1,2,1,0,0,40,39,0
184,47,2,151227,15,13,4,4,0,1,0,0,0,47,23,0
185,22,4,166009,11,10,2,12,4,4,0,0,0,40,39,0
186,44,4,95059,15,9,4,4,1,4,1,0,0,58,39,0
187,25,4,186702,9,9,4,10,3,4,1,0,0,40,39,0
188,21,7,77322,9,12,0,3,0,4,1,0,0,50,39,0
189,29,4,358164,11,9,0,3,0,2,1,0,0,23,39,0
190,30,4,166009,11,9,4,3,0,4,1,0,0,50,36,0
191,54,4,284258,11,12,2,1,3,4,0,0,0,40,39,0
192,55,7,166009,12,4,4,12,0,2,1,0,0,32,39,0
193,30,4,65497,12,11,4,8,1,4,1,0,0,40,39,0
194,24,4,248783,11,9,2,3,1,4,1,0,0,34,39,0
195,31,1,142359,11,9,2,10,3,4,1,8400,0,40,39,0
196,20,4,160096,15,10,4,1,0,2,1,0,0,40,41,0
197,49,4,171921,11,9,2,7,3,4,1,0,0,40,39,0
198,29,0,47759,4,7,2,8,0,4,1,4200,0,34,39,0
199,39,4,106884,10,13,2,1,3,4,1,0,0,45,39,0
200,28,3,148271,11,9,4,0,5,4,1,0,60,40,39,0
201,22,4,263564,11,13,4,12,0,4,1,0,0,40,39,0
202,50,4,112796,0,4,6,8,0,4,1,0,0,34,39,0
203,52,4,71409,15,10,0,3,5,4,0,0,0,60,39,0
204,27,4,98015,15,9,2,12,3,4,1,0,0,38,39,0
205,45,4,225133,9,14,4,12,1,2,1,0,0,40,39,0
206,41,1,319733,1,9,0,3,4,4,0,0,0,60,39,0
207,36,4,148271,11,9,2,10,0,4,1,0,0,50,39,0
208,27,4,198527,15,13,0,4,4,4,1,0,0,50,39,0
209,32,4,248783,0,10,3,1,3,4,1,0,0,50,39,0
210,51,0,219221,15,13,4,12,3,4,0,0,0,49,39,0
211,30,6,18197,9,13,0,4,0,2,0,0,0,40,39,0
212,62,4,257652,1,10,0,4,3,4,1,0,1655,40,39,0
213,46,4,166009,11,13,4,6,1,4,1,0,0,40,39,0
214,38,4,290170,11,9,4,12,0,4,1,0,0,60,39,0
215,21,4,216265,9,12,4,10,0,4,1,0,0,50,39,0
216,41,4,177833,11,9,4,4,5,4,1,0,0,33,39,0
217,24,4,331558,9,10,0,8,4,4,1,0,0,40,39,0
218,18,4,177833,7,9,2,10,3,4,1,3600,0,40,39,0
219,50,4,121665,15,14,2,13,5,4,0,0,0,8,39,0
220,41,4,136446,12,13,2,3,1,4,0,0,0,48,39,0
221,66,4,124621,15,10,0,7,0,4,0,0,0,40,39,0
222,19,7,222177,8,9,2,10,1,4,1,0,0,46,39,0
223,46,6,103928,12,9,2,8,0,2,1,0,0,50,39,0
224,62,4,148271,11,11,2,10,0,4,1,0,0,77,39,0
225,29,4,142359,4,9,2,9,1,1,1,0,0,50,39,0
226,47,4,32978,11,12,4,10,1,4,0,0,0,37,1,0
227,21,4,109840,15,9,2,6,0,4,0,0,0,40,39,0
228,51,4,452763,0,13,2,8,0,4,0,0,0,50,39,0
229,20,4,168965,9,10,2,1,4,4,0,0,0,37,39,0
230,37,5,266520,11,13,4,12,1,4,1,0,0,63,39,0
231,48,4,118709,15,15,2,12,3,4,0,99400,0,40,39,1
232,34,5,139402,11,13,2,14,1,4,1,2200,0,32,39,0
233,51,4,340426,15,10,2,12,0,4,1,0,0,50,39,0
234,43,7,234002,11,10,2,4,1,4,0,0,0,40,39,0
235,28,6,151227,11,9,0,0,1,2,1,0,0,50,39,0
236,60,0,213308,11,10,4,10,0,2,1,0,0,40,39,0
237,28,4,142359,2,10,2,0,0,4,1,7200,0,40,2,0
238,43,4,239914,11,9,2,14,1,4,1,0,0,40,39,0
239,31,4,12285,1,13,0,6,0,2,0,0,0,40,39,0
240,60,4,192615,15,9,0,12,0,4,1,0,0,22,39,0
241,40,4,192615,11,9,2,3,5,4,1,0,0,40,39,0
242,46,4,115753,11,11,0,3,1,2,1,0,0,40,39,0
243,32,4,337470,8,7,4,1,4,4,0,0,0,50,39,0
244,32,4,216265,14,10,4,10,0,4,1,0,0,47,10,0
245,23,4,98015,0,9,2,8,5,2,1,0,0,50,27,0
246,29,8,157140,11,12,4,8,3,2,0,0,0,6,39,0
247,68,4,189658,9,15,2,12,5,4,0,0,0,60,39,0
248,28,4,98015,15,9,5,10,4,4,0,0,0,60,39,0
249,49,4,38891,12,9,4,0,0,4,1,0,0,40,39,0
250,82,4,59584,11,13,2,8,0,4,1,0,0,40,39,0
251,23,4,180790,2,10,4,10,0,4,1,0,1908,40,39,0
252,62,4,180790,15,14,2,4,4,4,1,0,0,40,39,0
253,21,4,198527,7,14,0,9,1,4,0,0,0,29,5,0
254,24,2,322689,11,9,2,7,5,4,1,0,0,10,39,0
255,44,4,216265,11,10,2,1,1,2,1,0,0,40,39,0
256,42,0,204440,8,9,2,12,0,4,1,0,0,21,39,0
257,54,2,278345,9,10,2,10,1,4,1,0,0,28,39,0
258,32,2,186702,7,14,2,12,0,4,1,0,0,40,39,0
259,51,4,133490,11,9,4,12,0,2,1,0,0,40,39,0
260,82,4,263564,14,10,4,0,1,4,1,0,0,38,39,0
261,44,0,219221,8,14,4,4,1,4,1,0,0,40,39,0
262,58,4,213308,11,10,0,10,1,4,0,0,0,40,39,0
263,56,4,109840,15,7,4,3,2,4,1,0,0,54,28,0
264,22,2,109840,9,10,4,0,4,4,0,3200,0,19,39,0
265,32,4,127578,15,13,4,3,3,4,0,0,0,40,39,0
266,32,4,121665,11,6,2,1,0,4,0,0,0,46,39,0
267,21,6,399551,9,14,4,14,3,4,1,0,0,40,39,0
268,48,4,98015,11,14,2,10,1,4,0,0,0,44,39,0
269,32,4,343382,11,13,2,8,0,4,0,0,0,39,1,0
270,27,0,231046,15,13,2,8,4,4,0,0,0,17,39,0
271,21,1,92103,7,13,2,12,0,4,0,0,0,38,3,0
272,45,4,115753,11,13,2,12,2,4,1,0,0,40,39,0
273,28,2,115753,9,10,2,10,0,4,1,0,0,73,39,0
274,59,4,260608,11,10,5,5,0,4,1,0,0,40,39,0
275,27,4,381814,12,10,2,7,3,4,0,0,0,40,39,0
276,31,4,109840,11,4,2,7,0,4,0,0,0,40,39,0
277,41,4,103928,11,9,2,3,1,4,1,0,0,60,38,0
278,48,4,157140,1,15,0,1,3,4,1,0,0,77,39,0
279,56,4,47759,8,9,4,6,1,4,0,0,1542,59,39,0
280,42,4,231046,7,9,2,5,5,4,1,0,0,40,25,0
281,28,4,89147,11,6,0,10,1,4,1,5200,0,67,39,0
282,23,4,166009,9,15,2,4,1,4,0,0,0,36,39,0
283,27,4,163052,11,9,2,12,0,2,1,0,1960,50,39,0
284,51,0,71409,11,9,6,4,0,4,1,0,0,40,39,0
285,50,4,109840,11,2,2,12,0,4,1,0,0,50,39,0
286,46,4,53672,8,12,2,12,0,4,1,0,0,28,39,0
287,90,0,171921,15,13,2,13,2,4,0,0,0,40,39,0
288,50,4,68453,11,9,6,4,0,2,1,0,0,50,39,0
289,39,4,160096,9,10,4,12,0,4,1,0,0,37,39,0
290,80,4,168965,15,9,2,7,1,4,1,0,2056,40,39,0
291,41,4,148271,15,14,2,4,0,4,1,0,0,40,39,0
292,30,4,210352,15,14,4,3,1,2,1,0,0,40,39,0
293,18,0,245827,11,13,4,10,3,4,1,0,0,34,39,0
294,27,4,151227,6,14,0,3,3,4,1,0,0,55,39,0
295,34,4,160096,11,10,2,1,1,4,1,0,0,40,39,0
296,32,4,269477,11,14,2,3,0,4,1,0,0,40,39,0
297,22,4,177833,15,15,4,6,1,0,1,99400,0,40,39,1
298,40,4,275389,11,9,4,3,0,4,0,0,0,40,39,0
299,57,5,269477,11,9,4,8,1,4,0,0,0,57,39,0
300,46,4,157140,12,7,2,8,0,4,1,0,0,50,39,0
301,37,2,139402,0,9,2,6,0,4,0,0,0,50,39,0
302,33,4,180790,1,12,2,14,0,4,1,0,0,40,30,0
303,52,4,304951,11,6,2,4,1,4,1,0,0,40,39,0
304,28,7,192615,15,9,4,1,3,1,1,0,0,40,38,0
305,33,4,316776,9,9,2,10,1,4,1,0,0,40,28,0
306,30,4,106884,11,13,2,12,4,4,1,0,0,40,39,0
307,28,6,236958,15,11,2,7,0,4,1,0,0,40,39,0
308,26,4,136446,11,9,2,14,3,4,1,0,0,40,39,0
309,51,4,174877,9,9,2,4,0,4,1,0,0,50,39,0
310,52,6,168965,11,9,2,8,3,4,1,0,0,44,39,0
311,32,7,157140,11,10,4,3,3,4,1,0,0,40,39,0
312,28,4,257652,0,9,2,13,0,4,1,0,0,48,39,0
313,52,4,98015,11,10,5,8,0,4,0,0,0,40,39,0
314,38,6,59584,11,13,6,0,1,4,1,0,0,49,39,0
315,22,4,225133,8,13,0,3,0,4,1,0,0,40,39,0
316,19,0,213308,15,14,4,10,1,4,0,0,0,50,39,0
317,25,4,95059,15,5,2,12,3,2,1,0,0,40,39,0
318,46,6,228089,12,9,2,1,0,4,1,0,0,40,39,0
319,36,4,151227,9,13,2,0,5,4,1,0,0,40,39,0
320,34,4,103928,11,3,2,13,3,4,0,0,0,39,39,0
321,49,4,287214,1,9,4,10,1,4,1,0,0,27,14,0
322,42,4,106884,15,10,2,12,3,4,0,0,0,40,39,0
323,37,4,263564,12,13,2,4,0,2,1,0,0,28,39,0
324,24,4,95059,15,12,4,5,5,2,0,0,0,40,39,0
325,49,4,136446,11,10,4,0,1,4,1,0,0,26,39,0
326,61,6,222177,9,14,2,3,0,4,1,0,0,40,39,0
327,37,4,225133,9,15,2,12,0,4,1,98200,0,44,39,1
328,39,4,56628,11,13,2,1,5,4,0,0,0,40,39,0
329,23,4,100971,11,10,2,1,1,4,1,0,0,31,39,0
330,35,4,310864,8,15,2,10,0,4,0,0,0,46,39,0
331,25,4,47759,10,12,4,10,0,2,1,0,0,42,13,0
332,31,4,257652,12,9,4,10,1,4,0,0,0,22,39,0
333,41,4,275389,11,14,4,12,4,4,1,0,0,12,39,0
334,46,1,180790,15,10,2,14,1,4,1,4400,0,40,39,0
335,42,4,216265,9,11,4,1,4,4,1,0,0,38,39,0
336,57,4,92103,11,14,2,10,1,4,1,0,0,41,39,0
337,29,4,325645,15,9,0,10,1,4,0,0,0,40,39,0
338,18,4,399551,11,10,2,10,1,4,0,0,0,31,39,0
339,52,2,260608,11,13,0,6,1,4,0,0,0,40,39,0
340,24,4,195571,2,9,4,12,3,2,1,0,0,40,39,0
341,48,4,195571,11,13,2,14,0,4,1,0,0,40,39,0
342,38,4,133490,8,13,2,10,0,1,1,0,1934,46,39,0
343,28,4,166009,11,10,4,3,1,4,1,0,0,51,39,0
344,21,8,195571,15,13,2,0,0,4,0,0,0,47,39,0
345,70,4,355207,14,9,4,8,1,4,1,0,0,20,34,0
346,23,4,15241,11,9,2,4,0,2,0,0,0,46,39,0
347,41,4,47759,15,10,2,10,1,4,1,0,0,40,39,0
348,28,6,961235,12,9,2,12,3,4,1,0,0,28,39,0
349,28,4,260608,11,4,6,1,0,4,1,0,0,60,39,0
350,23,4,189658,9,10,2,12,0,4,0,0,0,40,39,0
351,30,4,269477,11,14,4,3,3,4,1,0,0,40,39,0
352,18,7,160096,9,10,2,10,1,4,1,0,0,50,39,0
353,30,4,168965,14,14,4,1,3,4,1,0,0,27,39,0
354,26,4,245827,15,12,2,10,0,4,0,0,1943,40,39,0
355,36,4,109840,8,9,0,8,3,4,1,0,0,25,39,0
356,51,2,100971,15,2,2,1,0,4,1,0,0,46,39,0
357,85,4,27066,11,16,0,12,0,4,0,0,0,50,26,0
358,55,5,174877,11,11,2,4,0,4,0,0,0,40,39,0
359,34,2,266520,15,10,4,12,0,4,0,0,0,40,39,0
360,28,4,198527,1,13,4,3,1,4,0,9200,0,63,38,0
361,23,4,189658,0,9,2,4,1,4,0,0,0,44,39,0
362,31,4,174877,11,9,2,10,0,4,1,0,0,40,39,0
363,22,4,106884,0,9,2,8,0,4,1,0,0,40,39,0
364,32,0,361120,11,9,0,14,1,2,0,0,0,40,28,0
365,35,6,166009,7,10,2,0,0,4,1,0,0,40,39,0
366,58,0,124621,9,9,0,10,5,4,1,0,0,40,39,0
367,19,2,225133,11,14,4,8,3,4,1,0,0,40,39,0
368,22,4,216265,15,7,2,10,0,2,0,0,0,39,39,0
369,27,4,257652,7,14,4,3,1,4,1,0,0,40,39,0
370,32,4,77322,11,10,2,0,0,4,1,0,1707,44,39,0
371,47,4,328601,11,10,2,2,1,1,1,0,0,40,39,0
372,22,4,151227,9,7,0,4,3,4,1,0,0,41,39,0
373,44,4,234002,11,8,2,3,4,2,1,0,0,50,39,0
374,45,2,83234,2,7,5,12,4,4,1,6200,0,40,39,0
375,17,2,171921,11,9,2,1,0,4,1,5600,0,19,28,0
376,75,4,98015,9,9,2,5,0,4,1,0,0,60,39,0
377,30,4,260608,12,10,2,3,1,4,1,0,1873,39,39,0
378,62,1,248783,9,9,2,8,0,4,1,0,0,75,39,0
379,42,4,18197,11,9,0,10,4,4,1,0,0,60,39,0
380,25,0,405463,11,9,0,4,1,4,0,0,0,44,39,0
381,49,2,168965,5,13,4,6,0,4,1,0,0,40,39,0
382,37,4,151227,11,10,2,12,3,4,1,0,52,40,39,0
383,47,6,151227,11,9,2,4,5,4,1,0,1594,40,39,0
384,55,1,112796,8,11,2,3,1,4,0,0,0,42,39,0
385,36,0,121665,11,7,4,5,1,4,1,0,0,41,39,0
386,42,4,174877,12,11,4,4,1,4,1,0,0,32,39,0
387,24,4,304951,15,14,2,8,4,4,1,0,0,57,39,0
388,62,4,98015,15,13,0,12,3,4,0,0,0,16,39,0
389,26,4,115753,11,10,4,10,5,4,1,0,0,9,39,0
390,60,0,192615,11,9,2,8,0,4,0,0,0,40,39,0
391,46,4,296083,15,13,4,4,4,1,0,0,1821,45,39,0
392,20,4,151227,11,9,4,6,1,4,1,0,0,17,39,0
393,18,4,177833,9,9,2,1,0,4,1,0,0,30,39,0
394,52,6,92103,0,10,2,7,0,4,1,0,0,40,39,0
395,20,4,168965,11,9,4,11,0,4,1,0,0,44,27,0
396,48,6,83234,8,4,4,4,1,4,0,0,0,40,39,0
397,49,4,301995,9,9,0,13,0,4,1,0,0,40,28,0
398,36,1,160096,9,10,3,4,0,4,0,0,0,40,39,0
399,42,7,109840,11,13,5,10,1,4,1,0,0,40,39,0
400,76,4,1487444,11,15,4,13,2,4,1,15800,0,40,39,0
401,46,4,222177,11,9,2,8,0,4,0,0,0,58,39,0
402,30,7,139402,12,10,5,1,0,2,1,0,0,16,39,0
403,45,6,112796,12,5,2,10,1,4,0,0,0,35,39,0
404,28,4,272433,11,9,4,7,0,4,0,0,0,30,39,0
405,36,4,71409,9,10,2,8,3,4,1,0,0,40,39,0
406,56,2,168965,5,9,2,10,0,4,1,0,0,40,39,0
407,39,4,207396,15,10,0,10,1,1,1,0,0,33,39,0
408,31,6,38891,15,9,0,10,0,4,0,0,0,40,39,0
409,66,4,151227,11,9,2,1,3,4,1,0,0,17,39,0
410,36,4,186702,9,9,4,3,0,4,0,0,0,32,39,0
411,36,6,168965,11,10,0,6,1,4,0,0,0,38,39,0
412,21,4,266520,9,9,2,12,1,4,1,0,1725,40,39,0
413,54,4,124621,11,6,4,8,0,4,1,0,0,36,39,0
414,61,4,163052,0,14,2,12,0,4,1,0,0,40,19,0
415,52,1,142359,9,14,2,3,3,4,0,0,1777,60,39,0
416,78,8,186702,1,6,2,7,4,4,1,0,0,9,39,0
417,61,4,56628,15,7,5,6,1,4,1,0,0,59,39,0
