age,sex,educ,race,income,married
37,1,1,2,12600,0
29,0,2,2,0,1
31,0,1,1,0,0
25,0,2,1,31800,1
29,0,1,2,120000,0
37,1,2,1,7000,0
47,0,2,1,40000,1
47,0,2,1,57000,0
29,0,2,2,45000,1
24,0,2,1,93700,1
37,0,2,1,4200,0
33,1,2,1,10000,0
49,1,1,2,13000,0
27,1,1,2,17100,1
48,0,1,2,63000,1
28,1,2,2,40200,0
27,1,1,2,88200,0
39,1,2,1,118000,0
40,1,1,2,120000,1
39,0,2,2,25000,0
41,0,1,2,44000,1
41,0,2,1,2000,1
39,1,1,2,5000,1
43,1,2,2,0,0
45,0,2,2,38300,0
42,1,2,2,38030,0
30,0,1,2,65000,1
42,0,1,2,0,0
32,1,2,1,0,0
49,1,2,1,11800,1
39,0,2,2,30000,0
31,1,2,2,8700,0
27,0,1,2,95300,1
21,1,1,2,52000,1
45,1,2,1,12700,0
31,0,1,1,76800,1
33,1,2,1,9600,0
23,1,1,1,0,0
37,1,1,2,11000,1
45,0,1,2,30000,1
37,0,1,1,41000,0
33,1,2,2,6300,0
48,0,2,1,115000,1
41,1,1,1,3400,0
48,1,1,2,28030,0
26,1,1,2,10700,1
26,0,2,2,57000,0
28,0,2,2,6000,0
29,0,2,2,80080,0
23,1,1,2,600,1
24,1,2,1,63000,1
47,0,2,2,75000,1
22,0,2,1,30000,1
33,0,1,1,0,1
28,1,2,2,13000,0
40,1,1,1,690,0
31,1,1,1,0,1
22,0,2,1,103000,1
44,1,1,1,0,1
49,1,1,1,35200,1
40,1,2,1,19000,0
43,1,2,1,325000,0
43,0,1,1,10000,0
41,0,1,1,56300,1
40,0,1,1,14000,1
36,1,1,1,3600,0
36,0,1,2,66000,0
31,1,2,2,14000,0
37,0,1,1,41600,0
47,0,1,1,10800,1
41,1,1,1,27000,1
32,0,1,1,50000,1
35,0,2,1,23100,0
28,0,2,2,27500,1
43,1,1,2,3000,1
39,1,2,2,38000,0
49,1,2,2,34000,0
45,0,2,1,50000,0
43,1,2,2,35000,0
31,0,1,1,6300,0
44,1,1,2,2100,0
38,0,2,2,50900,1
23,0,2,2,48000,1
39,1,1,2,12020,1
46,0,2,2,17000,0
26,1,2,1,18900,1
40,0,2,2,760,0
47,0,1,2,46000,0
40,1,2,2,0,0
40,1,2,1,0,1
27,0,2,2,42500,1
29,1,2,2,0,1
38,0,1,2,82260,1
34,1,2,1,0,1
39,0,2,1,0,0
26,0,1,1,27000,0
45,0,2,1,52000,1
28,1,1,2,0,0
45,1,1,2,3000,0
23,0,2,2,24000,0
48,0,1,2,61130,1
43,0,1,1,159000,0
28,1,1,1,17000,0
23,0,2,2,36000,1
32,1,1,2,70000,1
37,1,1,2,8000,1
35,0,1,2,19000,1
23,0,2,1,18000,1
30,1,1,2,9000,0
46,1,2,1,2000,1
32,0,1,1,91000,1
43,1,2,2,62000,1
22,1,1,2,5200,1
28,0,2,1,21200,1
36,1,1,1,4800,0
43,0,2,2,13000,0
45,1,2,2,0,0
21,0,2,2,44000,1
34,1,1,1,31900,1
48,1,2,1,26000,1
42,1,2,2,8700,0
36,0,1,2,14000,0
27,1,1,2,34480,0
42,1,1,1,90000,1
39,1,1,2,27000,1
43,1,1,2,5450,1
30,1,2,2,7200,0
41,0,1,2,18000,1
40,0,2,2,62300,1
40,0,2,2,13500,1
37,1,2,1,51350,1
46,1,2,2,31000,1
33,1,2,1,500,1
48,0,2,1,37000,0
41,0,2,1,20000,0
30,0,2,1,20000,0
22,1,1,2,22600,1
29,1,1,1,7000,1
24,1,1,2,20000,0
26,1,1,1,80000,1
38,1,2,2,80000,0
24,1,2,2,11500,1
47,0,1,1,76000,1
49,0,2,1,36000,0
41,1,1,1,10000,1
44,1,1,2,75800,0
28,1,2,2,30000,1
21,0,2,2,5100,0
46,1,1,2,8320,0
35,0,1,2,49000,0
30,0,2,2,0,1
39,0,1,2,29800,1
45,1,2,1,18500,0
41,1,2,2,10200,0
33,0,1,2,0,0
28,0,2,2,13000,0
21,0,1,2,91100,1
21,0,2,1,40000,1
24,1,1,2,54260,0
22,0,1,2,25000,0
36,0,2,2,45000,0
43,1,2,2,25000,0
46,0,2,2,26000,0
45,0,1,2,40900,1
46,1,1,2,0,1
44,1,1,1,25000,1
30,1,1,1,7000,0
37,0,2,2,1e+05,1
30,1,1,1,2000,1
47,0,1,1,38800,1
34,0,1,2,10100,1
37,1,2,2,13900,1
22,1,1,1,38600,0
